"date","value","section","grouping","sort","units","grade","level_achieved"
1999,6755983,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
1999,23,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2000,2762475,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2000,8,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2001,2931440,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2001,8,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2002,3144701,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2002,8,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2003,3075924,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2003,8,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2004,3773630,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2004,9,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2005,5063588,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2005,11,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2006,6644033,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2006,13,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2007,9192091,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2007,15,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2008,12960797,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2008,19,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2009,18159333,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2009,24,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2010,19899475,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2010,23,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2011,21560277,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2011,26,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2012,29071565,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2012,33,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2013,28540728,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2013,NA,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2014,37296830,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2014,NA,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2015,30356577,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2015,NA,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2016,33239921,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2016,NA,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2017,37213184,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2017,NA,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2018,37765756,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2018,NA,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2019,35221093,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2019,NA,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2020,37877914,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2020,NA,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2021,48193326,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2021,NA,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2022,52742752,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2022,NA,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
2023,47735721,"Fund_Balances","Fund Balance-EOY","FB1","dollars","All",NA
2023,NA,"Fund_Balances","Fund Balance of Budget","FB2","dollars","All",NA
1995,0.653,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
1995,0.159,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
1995,892,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
1995,20.5,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
1996,0.709,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
1996,0.175,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
1996,906,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
1996,20.2,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
1997,0.707,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
1997,0.27,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
1997,1019,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
1997,20.5,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
1998,0.682,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
1998,0.339,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
1998,1008,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
1998,21,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
1999,0.577,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
1999,0.257,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
1999,992,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
1999,21.5,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2000,0.546,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2000,0.345,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2000,1032,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2000,21.7,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2001,0.615,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2001,0.25,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2001,991,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2001,21.1,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2002,0.624,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2002,0.279,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2002,995,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2002,21,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2003,0.603,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2003,0.287,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2003,991,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2003,20.7,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2004,0.599,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2004,0.291,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2004,1005,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2004,21.6,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2005,0.602,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2005,0.314,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2005,1008,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2005,20.3,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2006,0.662,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2006,0.309,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2006,1022,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2006,21.4,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2007,0.643,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2007,0.331,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2007,1022,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2007,21.6,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2008,0.63,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2008,0.267,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2008,999,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2008,21,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2009,0.58,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2009,0.29,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2009,1011,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2009,21.7,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2010,0.578,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2010,0.283,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2010,1007,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2010,21.9,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2011,0.625,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2011,0.296,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2011,1008,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2011,22.1,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2012,0.753,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2012,0.264,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2012,989,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2012,22.8,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2013,0.687,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2013,0.296,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2013,NA,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2013,22,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2014,0.613,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2014,0.32,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2014,NA,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2014,22.2,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2015,0.671,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2015,0.269,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2015,NA,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2015,21.8,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2016,0.663,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2016,0.297,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2016,NA,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2016,22.2,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2017,0.679,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2017,0.29,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2017,NA,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2017,21.7,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2018,0.925,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2018,0.2,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2018,1023,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2018,22.5,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2019,0.943,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2019,0.429,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2019,1047,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2019,22.2,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2020,0.925,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2020,0.399,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2020,1036,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2020,22.4,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2021,0.945,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2021,0.444,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2021,1044,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2021,22.4,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2022,0.888,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2022,0.389,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2022,1020,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2022,22.1,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
2023,0.753,"SAT_ACT","Percent Tested","1","percent_of_students","All",NA
2023,0.373,"SAT_ACT","Percent At Or Above Criterion","2","percent_of_students","All",NA
2023,1012,"SAT_ACT","SAT-Mean Total Score","3","score","All",NA
2023,22.4,"SAT_ACT","ACT-Mean Composite Score","4","score","All",NA
1995,7.3,"Staff-Other","Number of Students Per Total Staff","7","count","All",NA
1995,15.5,"Staff-Other","Number of Students Per Teacher","8","count","All",NA
1995,641,"Staff-Other","Total Staff FTE","STAFF1","count","All",NA
1995,302,"Staff-Other","Total Teacher FTE","STAFF2","count","All",NA
1995,50534,"Staff-Avgs","Average Central Administr Salary","STAFF3","dollars","All",NA
1995,46940,"Staff-Avgs","Average School Administr Salary","STAFF4","dollars","All",NA
1995,30173,"Staff-Avgs","Average Profess Support Staff Salary","STAFF5","dollars","All",NA
1995,27108,"Staff-Avgs","Average Teacher Salary","STAFF6","dollars","All",NA
1995,0.18,"Staff-Other","Minority","STAFF7","percent_of_staff","All",NA
1995,0.01,"Staff-Type","Central Administrative","STAFFUNC1","percent_of_staff","All",NA
1995,0.02,"Staff-Type","School Administrative","STAFFUNC2","percent_of_staff","All",NA
1995,0.09,"Staff-Type","Professional Support Staff","STAFFUNC3","percent_of_staff","All",NA
1995,0.47,"Staff-Type","Teachers","STAFFUNC4","percent_of_staff","All",NA
1995,0.15,"Staff-Type","Educational Aides","STAFFUNC5","percent_of_staff","All",NA
1995,0.27,"Staff-Type","Auxiliary Staff","STAFFUNC6","percent_of_staff","All",NA
1996,7.4,"Staff-Other","Number of Students Per Total Staff","7","count","All",NA
1996,15.8,"Staff-Other","Number of Students Per Teacher","8","count","All",NA
1996,652,"Staff-Other","Total Staff FTE","STAFF1","count","All",NA
1996,305,"Staff-Other","Total Teacher FTE","STAFF2","count","All",NA
1996,55262,"Staff-Avgs","Average Central Administr Salary","STAFF3","dollars","All",NA
1996,45551,"Staff-Avgs","Average School Administr Salary","STAFF4","dollars","All",NA
1996,31698,"Staff-Avgs","Average Profess Support Staff Salary","STAFF5","dollars","All",NA
1996,29279,"Staff-Avgs","Average Teacher Salary","STAFF6","dollars","All",NA
1996,0.2,"Staff-Other","Minority","STAFF7","percent_of_staff","All",NA
1996,0.01,"Staff-Type","Central Administrative","STAFFUNC1","percent_of_staff","All",NA
1996,0.02,"Staff-Type","School Administrative","STAFFUNC2","percent_of_staff","All",NA
1996,0.08,"Staff-Type","Professional Support Staff","STAFFUNC3","percent_of_staff","All",NA
1996,0.47,"Staff-Type","Teachers","STAFFUNC4","percent_of_staff","All",NA
1996,0.16,"Staff-Type","Educational Aides","STAFFUNC5","percent_of_staff","All",NA
1996,0.27,"Staff-Type","Auxiliary Staff","STAFFUNC6","percent_of_staff","All",NA
1997,7.6,"Staff-Other","Number of Students Per Total Staff","7","count","All",NA
1997,16.1,"Staff-Other","Number of Students Per Teacher","8","count","All",NA
1997,673,"Staff-Other","Total Staff FTE","STAFF1","count","All",NA
1997,318,"Staff-Other","Total Teacher FTE","STAFF2","count","All",NA
1997,61168,"Staff-Avgs","Average Central Administr Salary","STAFF3","dollars","All",NA
1997,52050,"Staff-Avgs","Average School Administr Salary","STAFF4","dollars","All",NA
1997,35262,"Staff-Avgs","Average Profess Support Staff Salary","STAFF5","dollars","All",NA
1997,31452,"Staff-Avgs","Average Teacher Salary","STAFF6","dollars","All",NA
1997,0.21,"Staff-Other","Minority","STAFF7","percent_of_staff","All",NA
1997,0.01,"Staff-Type","Central Administrative","STAFFUNC1","percent_of_staff","All",NA
1997,0.02,"Staff-Type","School Administrative","STAFFUNC2","percent_of_staff","All",NA
1997,0.08,"Staff-Type","Professional Support Staff","STAFFUNC3","percent_of_staff","All",NA
1997,0.47,"Staff-Type","Teachers","STAFFUNC4","percent_of_staff","All",NA
1997,0.15,"Staff-Type","Educational Aides","STAFFUNC5","percent_of_staff","All",NA
1997,0.26,"Staff-Type","Auxiliary Staff","STAFFUNC6","percent_of_staff","All",NA
1998,7.6,"Staff-Other","Number of Students Per Total Staff","7","count","All",NA
1998,16.3,"Staff-Other","Number of Students Per Teacher","8","count","All",NA
1998,724,"Staff-Other","Total Staff FTE","STAFF1","count","All",NA
1998,336,"Staff-Other","Total Teacher FTE","STAFF2","count","All",NA
1998,62901,"Staff-Avgs","Average Central Administr Salary","STAFF3","dollars","All",NA
1998,51385,"Staff-Avgs","Average School Administr Salary","STAFF4","dollars","All",NA
1998,36202,"Staff-Avgs","Average Profess Support Staff Salary","STAFF5","dollars","All",NA
1998,33267,"Staff-Avgs","Average Teacher Salary","STAFF6","dollars","All",NA
1998,0.22,"Staff-Other","Minority","STAFF7","percent_of_staff","All",NA
1998,0.01,"Staff-Type","Central Administrative","STAFFUNC1","percent_of_staff","All",NA
1998,0.02,"Staff-Type","School Administrative","STAFFUNC2","percent_of_staff","All",NA
1998,0.08,"Staff-Type","Professional Support Staff","STAFFUNC3","percent_of_staff","All",NA
1998,0.46,"Staff-Type","Teachers","STAFFUNC4","percent_of_staff","All",NA
1998,0.16,"Staff-Type","Educational Aides","STAFFUNC5","percent_of_staff","All",NA
1998,0.27,"Staff-Type","Auxiliary Staff","STAFFUNC6","percent_of_staff","All",NA
1999,7.5,"Staff-Other","Number of Students Per Total Staff","7","count","All",NA
1999,16,"Staff-Other","Number of Students Per Teacher","8","count","All",NA
1999,788,"Staff-Other","Total Staff FTE","STAFF1","count","All",NA
1999,372,"Staff-Other","Total Teacher FTE","STAFF2","count","All",NA
1999,65117,"Staff-Avgs","Average Central Administr Salary","STAFF3","dollars","All",NA
1999,51278,"Staff-Avgs","Average School Administr Salary","STAFF4","dollars","All",NA
1999,37033,"Staff-Avgs","Average Profess Support Staff Salary","STAFF5","dollars","All",NA
1999,33589,"Staff-Avgs","Average Teacher Salary","STAFF6","dollars","All",NA
1999,0.22,"Staff-Other","Minority","STAFF7","percent_of_staff","All",NA
1999,0.01,"Staff-Type","Central Administrative","STAFFUNC1","percent_of_staff","All",NA
1999,0.03,"Staff-Type","School Administrative","STAFFUNC2","percent_of_staff","All",NA
1999,0.08,"Staff-Type","Professional Support Staff","STAFFUNC3","percent_of_staff","All",NA
1999,0.47,"Staff-Type","Teachers","STAFFUNC4","percent_of_staff","All",NA
1999,0.15,"Staff-Type","Educational Aides","STAFFUNC5","percent_of_staff","All",NA
1999,0.26,"Staff-Type","Auxiliary Staff","STAFFUNC6","percent_of_staff","All",NA
2000,7.4,"Staff-Other","Number of Students Per Total Staff","7","count","All",NA
2000,15.3,"Staff-Other","Number of Students Per Teacher","8","count","All",NA
2000,841,"Staff-Other","Total Staff FTE","STAFF1","count","All",NA
2000,404,"Staff-Other","Total Teacher FTE","STAFF2","count","All",NA
2000,69910,"Staff-Avgs","Average Central Administr Salary","STAFF3","dollars","All",NA
2000,55848,"Staff-Avgs","Average School Administr Salary","STAFF4","dollars","All",NA
2000,38670,"Staff-Avgs","Average Profess Support Staff Salary","STAFF5","dollars","All",NA
2000,36106,"Staff-Avgs","Average Teacher Salary","STAFF6","dollars","All",NA
2000,0.22,"Staff-Other","Minority","STAFF7","percent_of_staff","All",NA
2000,0.01,"Staff-Type","Central Administrative","STAFFUNC1","percent_of_staff","All",NA
2000,0.02,"Staff-Type","School Administrative","STAFFUNC2","percent_of_staff","All",NA
2000,0.09,"Staff-Type","Professional Support Staff","STAFFUNC3","percent_of_staff","All",NA
2000,0.48,"Staff-Type","Teachers","STAFFUNC4","percent_of_staff","All",NA
2000,0.14,"Staff-Type","Educational Aides","STAFFUNC5","percent_of_staff","All",NA
2000,0.26,"Staff-Type","Auxiliary Staff","STAFFUNC6","percent_of_staff","All",NA
2001,7.6,"Staff-Other","Number of Students Per Total Staff","7","count","All",NA
2001,15.4,"Staff-Other","Number of Students Per Teacher","8","count","All",NA
2001,847,"Staff-Other","Total Staff FTE","STAFF1","count","All",NA
2001,420,"Staff-Other","Total Teacher FTE","STAFF2","count","All",NA
2001,70728,"Staff-Avgs","Average Central Administr Salary","STAFF3","dollars","All",NA
2001,59071,"Staff-Avgs","Average School Administr Salary","STAFF4","dollars","All",NA
2001,41535,"Staff-Avgs","Average Profess Support Staff Salary","STAFF5","dollars","All",NA
2001,37708,"Staff-Avgs","Average Teacher Salary","STAFF6","dollars","All",NA
2001,0.21,"Staff-Other","Minority","STAFF7","percent_of_staff","All",NA
2001,0.01,"Staff-Type","Central Administrative","STAFFUNC1","percent_of_staff","All",NA
2001,0.02,"Staff-Type","School Administrative","STAFFUNC2","percent_of_staff","All",NA
2001,0.09,"Staff-Type","Professional Support Staff","STAFFUNC3","percent_of_staff","All",NA
2001,0.5,"Staff-Type","Teachers","STAFFUNC4","percent_of_staff","All",NA
2001,0.13,"Staff-Type","Educational Aides","STAFFUNC5","percent_of_staff","All",NA
2001,0.25,"Staff-Type","Auxiliary Staff","STAFFUNC6","percent_of_staff","All",NA
2002,7.3,"Staff-Other","Number of Students Per Total Staff","7","count","All",NA
2002,14.6,"Staff-Other","Number of Students Per Teacher","8","count","All",NA
2002,880,"Staff-Other","Total Staff FTE","STAFF1","count","All",NA
2002,441,"Staff-Other","Total Teacher FTE","STAFF2","count","All",NA
2002,70273,"Staff-Avgs","Average Central Administr Salary","STAFF3","dollars","All",NA
2002,57830,"Staff-Avgs","Average School Administr Salary","STAFF4","dollars","All",NA
2002,43469,"Staff-Avgs","Average Profess Support Staff Salary","STAFF5","dollars","All",NA
2002,38760,"Staff-Avgs","Average Teacher Salary","STAFF6","dollars","All",NA
2002,0.21,"Staff-Other","Minority","STAFF7","percent_of_staff","All",NA
2002,0.01,"Staff-Type","Central Administrative","STAFFUNC1","percent_of_staff","All",NA
2002,0.02,"Staff-Type","School Administrative","STAFFUNC2","percent_of_staff","All",NA
2002,0.09,"Staff-Type","Professional Support Staff","STAFFUNC3","percent_of_staff","All",NA
2002,0.5,"Staff-Type","Teachers","STAFFUNC4","percent_of_staff","All",NA
2002,0.12,"Staff-Type","Educational Aides","STAFFUNC5","percent_of_staff","All",NA
2002,0.25,"Staff-Type","Auxiliary Staff","STAFFUNC6","percent_of_staff","All",NA
2003,7.9,"Staff-Other","Number of Students Per Total Staff","7","count","All",NA
2003,15.3,"Staff-Other","Number of Students Per Teacher","8","count","All",NA
2003,843,"Staff-Other","Total Staff FTE","STAFF1","count","All",NA
2003,438,"Staff-Other","Total Teacher FTE","STAFF2","count","All",NA
2003,72724,"Staff-Avgs","Average Central Administr Salary","STAFF3","dollars","All",NA
2003,58880,"Staff-Avgs","Average School Administr Salary","STAFF4","dollars","All",NA
2003,45296,"Staff-Avgs","Average Profess Support Staff Salary","STAFF5","dollars","All",NA
2003,39368,"Staff-Avgs","Average Teacher Salary","STAFF6","dollars","All",NA
2003,0.22,"Staff-Other","Minority","STAFF7","percent_of_staff","All",NA
2003,0.01,"Staff-Type","Central Administrative","STAFFUNC1","percent_of_staff","All",NA
2003,0.03,"Staff-Type","School Administrative","STAFFUNC2","percent_of_staff","All",NA
2003,0.09,"Staff-Type","Professional Support Staff","STAFFUNC3","percent_of_staff","All",NA
2003,0.52,"Staff-Type","Teachers","STAFFUNC4","percent_of_staff","All",NA
2003,0.1,"Staff-Type","Educational Aides","STAFFUNC5","percent_of_staff","All",NA
2003,0.26,"Staff-Type","Auxiliary Staff","STAFFUNC6","percent_of_staff","All",NA
2004,8,"Staff-Other","Number of Students Per Total Staff","7","count","All",NA
2004,15.5,"Staff-Other","Number of Students Per Teacher","8","count","All",NA
2004,903,"Staff-Other","Total Staff FTE","STAFF1","count","All",NA
2004,468,"Staff-Other","Total Teacher FTE","STAFF2","count","All",NA
2004,72986,"Staff-Avgs","Average Central Administr Salary","STAFF3","dollars","All",NA
2004,63653,"Staff-Avgs","Average School Administr Salary","STAFF4","dollars","All",NA
2004,46367,"Staff-Avgs","Average Profess Support Staff Salary","STAFF5","dollars","All",NA
2004,39884,"Staff-Avgs","Average Teacher Salary","STAFF6","dollars","All",NA
2004,0.23,"Staff-Other","Minority","STAFF7","percent_of_staff","All",NA
2004,0.01,"Staff-Type","Central Administrative","STAFFUNC1","percent_of_staff","All",NA
2004,0.02,"Staff-Type","School Administrative","STAFFUNC2","percent_of_staff","All",NA
2004,0.09,"Staff-Type","Professional Support Staff","STAFFUNC3","percent_of_staff","All",NA
2004,0.52,"Staff-Type","Teachers","STAFFUNC4","percent_of_staff","All",NA
2004,0.1,"Staff-Type","Educational Aides","STAFFUNC5","percent_of_staff","All",NA
2004,0.26,"Staff-Type","Auxiliary Staff","STAFFUNC6","percent_of_staff","All",NA
2005,7.9,"Staff-Other","Number of Students Per Total Staff","7","count","All",NA
2005,15.4,"Staff-Other","Number of Students Per Teacher","8","count","All",NA
2005,961,"Staff-Other","Total Staff FTE","STAFF1","count","All",NA
2005,496,"Staff-Other","Total Teacher FTE","STAFF2","count","All",NA
2005,79611,"Staff-Avgs","Average Central Administr Salary","STAFF3","dollars","All",NA
2005,67701,"Staff-Avgs","Average School Administr Salary","STAFF4","dollars","All",NA
2005,46962,"Staff-Avgs","Average Profess Support Staff Salary","STAFF5","dollars","All",NA
2005,40529,"Staff-Avgs","Average Teacher Salary","STAFF6","dollars","All",NA
2005,0.24,"Staff-Other","Minority","STAFF7","percent_of_staff","All",NA
2005,0.01,"Staff-Type","Central Administrative","STAFFUNC1","percent_of_staff","All",NA
2005,0.02,"Staff-Type","School Administrative","STAFFUNC2","percent_of_staff","All",NA
2005,0.09,"Staff-Type","Professional Support Staff","STAFFUNC3","percent_of_staff","All",NA
2005,0.52,"Staff-Type","Teachers","STAFFUNC4","percent_of_staff","All",NA
2005,0.1,"Staff-Type","Educational Aides","STAFFUNC5","percent_of_staff","All",NA
2005,0.26,"Staff-Type","Auxiliary Staff","STAFFUNC6","percent_of_staff","All",NA
2006,7.9,"Staff-Other","Number of Students Per Total Staff","7","count","All",NA
2006,15.4,"Staff-Other","Number of Students Per Teacher","8","count","All",NA
2006,1057,"Staff-Other","Total Staff FTE","STAFF1","count","All",NA
2006,543,"Staff-Other","Total Teacher FTE","STAFF2","count","All",NA
2006,81352,"Staff-Avgs","Average Central Administr Salary","STAFF3","dollars","All",NA
2006,66645,"Staff-Avgs","Average School Administr Salary","STAFF4","dollars","All",NA
2006,48119,"Staff-Avgs","Average Profess Support Staff Salary","STAFF5","dollars","All",NA
2006,41047,"Staff-Avgs","Average Teacher Salary","STAFF6","dollars","All",NA
2006,0.25,"Staff-Other","Minority","STAFF7","percent_of_staff","All",NA
2006,0.01,"Staff-Type","Central Administrative","STAFFUNC1","percent_of_staff","All",NA
2006,0.02,"Staff-Type","School Administrative","STAFFUNC2","percent_of_staff","All",NA
2006,0.1,"Staff-Type","Professional Support Staff","STAFFUNC3","percent_of_staff","All",NA
2006,0.51,"Staff-Type","Teachers","STAFFUNC4","percent_of_staff","All",NA
2006,0.1,"Staff-Type","Educational Aides","STAFFUNC5","percent_of_staff","All",NA
2006,0.26,"Staff-Type","Auxiliary Staff","STAFFUNC6","percent_of_staff","All",NA
2007,8,"Staff-Other","Number of Students Per Total Staff","7","count","All",NA
2007,15.3,"Staff-Other","Number of Students Per Teacher","8","count","All",NA
2007,1190,"Staff-Other","Total Staff FTE","STAFF1","count","All",NA
2007,619,"Staff-Other","Total Teacher FTE","STAFF2","count","All",NA
